,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
864,LPG,U-Haul,10125 N IH-35,North of Rundberg and South of Breaker exits,Austin,TX,78753,,512-973-9227,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-9,30.365616,-97.682805,2023-02-13,20271,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,False,,,US,,,,Public - Appeler à l'avance,,Public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,False,,,,,,,,HD,
865,LPG,U-Haul,8710 Burnet Rd,South of Highway 183,Austin,TX,78757,,512-459-1388,E,,Public - Call ahead,"7am-7pm M-Sat, 9am-5pm Sun",A Cash Checks D M V,,,,,,,,,,200-9,30.369936,-97.728,2023-02-13,20272,2023-02-14 15:54:11 UTC,P,,,2000-11-01,,,False,,,US,,,,Public - Appeler à l'avance,,Public,CALL,,RENTAL_CAR_RETURN,,,,,,,,,"[""QUICK_CONNECT"", ""ACME""]",,,,,,,,False,,,,,,,,,
1200,LPG,Direct Propane Inc,19126 FM 969,,Webberville,TX,78653,,512-276-7800,E,,Public,"8am-6pm M-F, 8am-5pm Sat; must have state decal",A Cash D M V,,,,,,,,,,200-9,30.22844,-97.514844,2023-08-10,22075,2023-08-10 16:58:49 UTC,P,,,2003-07-22,,,True,,,US,,,,Public,,Public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,False,,,,,,,,HD,
1372,LPG,McCoy's Lawn Equipment - North,8501 Research Blvd,,Austin,TX,78758,,512-453-7540,E,,Public,"8am-5:30pm M-F, 9am-5pm Sat",A Cash D M V,,,,,,,,,,200-9,30.359681,-97.71603,2023-08-10,26159,2023-08-10 16:58:49 UTC,P,,,2004-12-14,,,True,,,US,,,,Public,,Public,,,SHOPPING_CENTER,,,,,,,,,"[""ACME""]",,,,,,,,False,,,,,,,,HD,
1582,E85,H-E-B #476,500 Canyon Ridge Dr,Interstate Highway 35 east of  Parmer (Highway 734) at Tech Ridge,Austin,TX,78753,,512-973-8143,E,,Public - Credit card after hours,6am-10pm daily,A Cash D M V,,,,,,,,,,200-9,30.405517,-97.671997,2023-09-14,29386,2023-09-14 14:01:49 UTC,P,,,2006-08-15,,,,False,,US,,,,Public - Carte de crédit après les heures d'ouverture,,Public,CREDIT_CARD_AFTER_HOURS,,GROCERY,,,,,,,,,,,,,,,,,False,,,,,,,,MD,
1704,CNG,Trillium - City of Austin,2400 Business Center Dr,Surrounded by S Industrial Ln on west and Todd Ln on east. Northside of Highway 71 Todd Ln is called Burleson. Located across from City Waste Services Facility.,Austin,TX,78744,,800-920-1166,E,,Public - Credit card at all times,"24 hours daily; station fuels up to class 12 tractors, but class 9-12 tractors will have to detach the trailer to get in the driveway; by spring 2019 the driveway to the station will be widened",M V,,Q,3600,,,,,,,200-9,30.213718,-97.738941,2023-02-13,30622,2023-05-30 18:46:28 UTC,LG,,,2008-02-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,Public,CREDIT_CARD_ALWAYS,,MUNI_GOV,1.0,,1000.0,7380.0,,,,,,,,Q,3600,HD,,,False,,,,,,,,HD,
2509,CNG,Clean Energy - Austin Bergstrom International Airport,3100 1/2 Spirit of Texas Dr,"Off State Highway 71. Not at the main airport entrance, instead the use: ""Airport Cargo/Service Entrance"" exit",Austin,TX,78719,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy D FleetOne FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,30.209023,-97.67202,2023-09-14,35316,2023-09-14 14:01:49 UTC,P,,,2011-07-21,,MD,,,,US,,,,Public - Carte de crédit en tout temps,,Public,CREDIT_CARD_ALWAYS,,AIRPORT,2.0,NONE,,,,,,,,,,Q,3000 3600,MD,,,False,,,,,,True,,MD,
2580,HY,Gas Technology Institute - University of Texas Austin,10100 Burnet Rd,J.J. Pickle Research Campus at the University of Texas at Austin,Austin,TX,78758,,,T,2024-05-01,TEMPORARILY UNAVAILABLE (Private),,,,,,,,,,,,200-9,30.385441,-97.724939,2023-06-12,35589,2023-06-12 16:56:16 UTC,P,,,2019-06-01,,,,,,US,,,,TEMPORAIREMENT SUSPENDU (Privé),,Private,,,COLLEGE_CAMPUS,,,,,,,,,,"[""350"", ""700""]",,,,,,,,,,,,,,,,
2992,ELEC,Clay Cooley Nissan,4914 S IH-35,,Austin,TX,78745,,512-444-1400,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-9,30.206145,-97.759109,2020-06-09,39114,2023-02-15 22:45:41 UTC,P,,,2011-01-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,Public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,,False
3051,ELEC,Town North Nissan,9160A Research Blvd,,Austin,TX,78758,,512-451-7411,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-9,30.374542,-97.731445,2022-12-13,39711,2023-02-14 15:54:11 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,Public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False
